text,label,source,url
BF oo maanta meel-mariyay miisaaniyadda qaranka ee 2026 – Waa imisa?,Politics,Caasimada,
Faah-faahinta dil ka dhacay magaalada Gaalkacyo,Politics,Caasimada,
Dowladda Mareykanka oo u yeertay safiirkeeda Soomaaliya,Politics,Caasimada,
Taiwan oo si adag ugu soo jawaabtay madaxweyne Xasan,Politics,Caasimada,
Golaha Mustaqbalka oo soo saaray bayaan cusub kuna dhowaaqay in ay si buuxda…,Politics,Caasimada,
Booliska oo xabsiga dhigay askar Muqdisho ku dhex watay…,Politics,Caasimada,
"Farmaajo oo caddeeyay mowqifkiisa siyaasadeed ee dalka, kana digay…",Politics,Caasimada,
Sawirro: Dhoolatus weyn oo ka dhacay Muqdisho – Miyaa la soo afjaray jiritaanka…,Politics,Caasimada,
Somaliland oo qiratay in uu dhaqan-galay e-visa oo ay joojin weysay amarkii DF,Politics,Caasimada,
Hay’adda duulista socdaalka oo ku dhawaaqday in garoonka Muqdisho la xirayo maalinta…,Politics,Caasimada,
DF oo shaacisay magacyada madax sare oo Al-Shabaab ah oo hal goob lagu dilay,Politics,Caasimada,
Miisaaniyadda gobolka Banaadir oo maanta la ansixiyay – Waa imisa?,Politics,Caasimada,
Xasan Sheekh oo la sheegay inuu aqbalay soo jeedinta mucaaradka ee shirkii Kismaayo,Politics,Caasimada,
Hay’adda Duulista oo ku dhawaaqday go’aan Khamiista ka dhaqan-galaya garoonka,Politics,Caasimada,
Horjoogayaal iyo maleeshiyo badan oo la dilay + Magacyada,Politics,Caasimada,
Dagaal culus oo ka qarxay Jalalaqsi – Yuu u dhexeeyaa?,Politics,Caasimada,
Khaladaadka ay sameeyeen mucaaradka ee shirkii Kismaayo,Politics,Caasimada,
Puntland oo tallaabo culus ka qaaday mas’uul amaanay madaxweyne Xasan Sheekh,Politics,Caasimada,
DF oo ku dhawaaqday go’aan saameynaya shacabka kahor…,Politics,Caasimada,
Ciidankii u badnaa oo loo diyaariyay hirgelinta qorshaha madaxweyne Xasan Sheekh,Politics,Caasimada,
Xogta duqeyn culus oo ka dhacday duleedka Warsheekh,Politics,Caasimada,
Al-Shabaab oo bilowday qorshe ay malaayiin dollar uga qaadaneyso QM,Politics,Caasimada,
Soomaaliya oo si rasmi ah ula wareegaysa kursiga madaxtinimada…,Politics,Caasimada,
BF oo maanta meel-mariyay miisaaniyadda qaranka ee 2026 – Waa imisa?,Politics,Caasimada,
Faah-faahinta dil ka dhacay magaalada Gaalkacyo,Politics,Caasimada,
Dowladda Mareykanka oo u yeertay safiirkeeda Soomaaliya,Politics,Caasimada,
Booliska oo xabsiga dhigay askar Muqdisho ku dhex watay…,Politics,Caasimada,
"Farmaajo oo caddeeyay mowqifkiisa siyaasadeed ee dalka, kana digay…",Politics,Caasimada,
Sawirro: Dhoolatus weyn oo ka dhacay Muqdisho – Miyaa la soo afjaray jiritaanka…,Politics,Caasimada,
Somaliland oo qiratay in uu dhaqan-galay e-visa oo ay joojin weysay amarkii DF,Politics,Caasimada,
Hay’adda duulista socdaalka oo ku dhawaaqday in garoonka Muqdisho la xirayo maalinta…,Politics,Caasimada,
DF oo shaacisay magacyada madax sare oo Al-Shabaab ah oo hal goob lagu dilay,Politics,Caasimada,
Miisaaniyadda gobolka Banaadir oo maanta la ansixiyay – Waa imisa?,Politics,Caasimada,
Xasan Sheekh oo la sheegay inuu aqbalay soo jeedinta mucaaradka ee shirkii Kismaayo,Politics,Caasimada,
Hay’adda Duulista oo ku dhawaaqday go’aan Khamiista ka dhaqan-galaya garoonka,Politics,Caasimada,
Horjoogayaal iyo maleeshiyo badan oo la dilay + Magacyada,Politics,Caasimada,
Xog: Xiriirka Soomaaliya iyo Itoobiya oo weji cusub galay,Politics,Caasimada,
Dowladda Masar oo caddeysay inay Soomaaliya ka taageerayso…,Politics,Caasimada,
Saciid Deni oo arrimo xasaasi ah kala hadlay xildhibaanno ka tirsan BF + Sawirro,Politics,Caasimada,
Mucaaradka oo ka digay qorshe uu Xasan Sheekh damacsan yahay Khamiista,Politics,Caasimada,
DF Soomaaliya oo jawaab kasoo saartay go’aannada ka soo baxay shirkii Kismaayo,Politics,Caasimada,
Soomaaliya oo u weecatay Shiinaha iyo Xasan Sheekh oo shaaciyey in uu si buuxda u…,Politics,Caasimada,
Xasan oo ku qasban inuu kala doorto laba arrimood kadib war-murtiyeedkii Kismaayo,Politics,Caasimada,
Mareykanka oo joojiyey barnaamijka caanka ee Lottery-ga kadib dhacdo argagax leh,Politics,Caasimada,
BF oo maanta meel-mariyay miisaaniyadda qaranka ee 2026 – Waa imisa?,Politics,Caasimada,
Faah-faahinta dil ka dhacay magaalada Gaalkacyo,Politics,Caasimada,
Dowladda Mareykanka oo u yeertay safiirkeeda Soomaaliya,Politics,Caasimada,
Booliska oo xabsiga dhigay askar Muqdisho ku dhex watay…,Politics,Caasimada,
"Farmaajo oo caddeeyay mowqifkiisa siyaasadeed ee dalka, kana digay…",Politics,Caasimada,
Sawirro: Dhoolatus weyn oo ka dhacay Muqdisho – Miyaa la soo afjaray jiritaanka…,Politics,Caasimada,
Somaliland oo qiratay in uu dhaqan-galay e-visa oo ay joojin weysay amarkii DF,Politics,Caasimada,
Hay’adda duulista socdaalka oo ku dhawaaqday in garoonka Muqdisho la xirayo maalinta…,Politics,Caasimada,
DF oo shaacisay magacyada madax sare oo Al-Shabaab ah oo hal goob lagu dilay,Politics,Caasimada,
Miisaaniyadda gobolka Banaadir oo maanta la ansixiyay – Waa imisa?,Politics,Caasimada,
Xasan Sheekh oo la sheegay inuu aqbalay soo jeedinta mucaaradka ee shirkii Kismaayo,Politics,Caasimada,
Hay’adda Duulista oo ku dhawaaqday go’aan Khamiista ka dhaqan-galaya garoonka,Politics,Caasimada,
Horjoogayaal iyo maleeshiyo badan oo la dilay + Magacyada,Politics,Caasimada,
Axmed Madoobe oo ku adkeystay inay fulinayaan heshiiska ay gaareen,Politics,Caasimada,
DENI oo arrin xasaasi ah ka dalbaday Xasan Sheekh,Politics,Caasimada,
Madaxweynaha Somaliland oo qaaday tallaabo culus oo la xiriirta xiisaddii Boorama,Politics,Caasimada,
War-murtiyeed culus oo laga soo saaray shirka Kismaayo,Politics,Caasimada,
Shirka Kismaayo oo isfaham buuxa lagu gaaray – Maxaa lagu heshiiyay?,Politics,Caasimada,
Xasan oo shaaciyay arrin uu diyaar ula yahay mucaaradka,Politics,Caasimada,
Booliska Soomaaliya oo maanta wacdaro ka dhigay Muqdisho + Sawirro,Politics,Caasimada,
Guddiga doorashada oo shaaca ka qaaday goobaha cod-bixinta Gobolka Banaadir,Politics,Caasimada,
BF oo maanta meel-mariyay miisaaniyadda qaranka ee 2026 – Waa imisa?,Politics,Caasimada,
Faah-faahinta dil ka dhacay magaalada Gaalkacyo,Politics,Caasimada,
